column 1	Pathways of a reaction	EC-Number	Object ID
D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  D-ribose 5-phosphate + D-xylulose 5-phosphate	Calvin-Benson-Bassham cycle // pentose phosphate pathway (non-oxidative branch) I // Rubisco shunt	EC-2.2.1.1	1TRANSKETO-RXN
(R)-pantoate + NADP+  <-  2-dehydropantoate + NADPH + H+	phosphopantothenate biosynthesis I	EC-1.1.1.169	2-DEHYDROPANTOATE-REDUCT-RXN
(S)-2-hydroxyglutarate + an oxidized electron carrier  =  2-oxoglutarate + a reduced two electron carrier		EC-1.1.99.2	2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN
acetyl-CoA + 3-methyl-2-oxobutanoate + H2O  ->  (2S)-2-isopropylmalate + coenzyme A + H+	L-leucine biosynthesis	EC-2.3.3.13	2-ISOPROPYLMALATESYN-RXN
(2S)-2-methylbutanoyl-CoA + oxidized electron-transfer flavoprotein + H+  <-->  (E)-2-methylcrotonoyl-CoA + reduced electron-transfer flavoprotein	L-isoleucine degradation I	EC-1.3.8.5	2-METHYLACYL-COA-DEHYDROGENASE-RXN
O-phosphoethanolamine + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + N-methylethanolamine phosphate + H+	phosphatidylcholine biosynthesis IV // phosphatidylcholine biosynthesis III // choline biosynthesis I // phosphatidylcholine biosynthesis II	EC-2.1.1.103	2.1.1.103-RXN
24-methylidenelophenol + S-adenosyl-L-methionine  ->  (24Z)-24-ethylidenelophenol + S-adenosyl-L-homocysteine + H+	phytosterol biosynthesis (plants)	EC-2.1.1.143	2.1.1.143-RXN
(E)-4-coumaroyl-CoA + shikimate  ->  trans-5-O-(4-coumaroyl)shikimate + coenzyme A	avenanthramide biosynthesis // chlorogenic acid biosynthesis II // monolignol biosynthesis	EC-2.3.1.133	2.3.1.133-RXN
bisdemalonylsalvianin + malonyl-CoA  ->  coenzyme A + monodemalonylsalvianin	salvianin biosynthesis	EC-2.3.1.172	2.3.1.172-RXN
acetyl-CoA + malonyl-[acp] + H+  ->  acetoacetyl-[acp] + coenzyme A + CO2	fatty acid biosynthesis initiation (type II)	EC-2.3.1.180	2.3.1.180-RXN
UDP-alpha-D-glucose + coniferyl alcohol  ->  coniferin + UDP + H+	coniferin metabolism	EC-2.4.1.111	2.4.1.111-RXN
UDP-alpha-D-galactose + myo-inositol  ->  galactinol + UDP + H+	stachyose biosynthesis	EC-2.4.1.123	2.4.1.123-RXN
galactinol + raffinose  ->  myo-inositol + stachyose	stachyose biosynthesis	EC-2.4.1.67	2.4.1.67-RXN
galactinol + sucrose  ->  myo-inositol + raffinose	stachyose biosynthesis	EC-2.4.1.82	2.4.1.82-RXN
shikimate 3-phosphate + phosphoenolpyruvate  ->  5-enolpyruvoyl-shikimate 3-phosphate + phosphate	chorismate biosynthesis from 3-dehydroquinate	EC-2.5.1.19	2.5.1.19-RXN
2 geranylgeranyl diphosphate  ->  prephytoene diphosphate + diphosphate	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)		2.5.1.32-RXN
3 S-adenosyl-L-methionine  ->  L-nicotianamine + 3 S-methyl-5'-thioadenosine + 3 H+	L-nicotianamine biosynthesis // 2'-deoxymugineic acid phytosiderophore biosynthesis	EC-2.5.1.43	2.5.1.43-RXN
"isochorismate + 2-oxoglutarate + H+  ->  (1R,2S,5S,6S)-2-succinyl-5-enolpyruvyl-6-hydroxycyclohex-3-ene-1-carboxylate + CO2"	"2-carboxy-1,4-naphthoquinol biosynthesis"	EC-2.2.1.9	2.5.1.64-RXN
L-alanine + 3-oxopropanoate  <-->  pyruvate + beta-alanine	&beta;-alanine biosynthesis II	EC-2.6.1.18	2.6.1.18-RXN
"L-dopa + 2-oxoglutarate  <-->  3-(3,4-dihydroxyphenyl)pyruvate + L-glutamate"	rosmarinic acid biosynthesis II	EC-2.6.1.49	2.6.1.49-RXN
L-nicotianamine + 2-oxoglutarate  <-->  L-glutamate + 3''-deamino-3''-oxonicotianamine	2'-deoxymugineic acid phytosiderophore biosynthesis	EC-2.6.1.80	2.6.1.80-RXN
"D-myo-inositol (3,4,5,6)-tetrakisphosphate + ATP  <-->  D-myo-inositol 1,3,4,5,6-pentakisphosphate + ADP + H+"	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	EC-2.7.1.134	2.7.1.134-RXN
"D-myo-inositol (1,3,4)-trisphosphate + ATP  <-->  D-myo-inositol (1,3,4,5)-tetrakisphosphate + ADP + H+"	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)"	EC-2.7.1.159	2.7.1.139-RXN
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP  ->  2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ADP + H+	methylerythritol phosphate pathway I // methylerythritol phosphate pathway II	EC-2.7.1.148	2.7.1.148-RXN
"D-myo-inositol (1,4,5)-trisphosphate + ATP  ->  D-myo-inositol (1,4,5,6)-tetrakisphosphate + ADP + H+"	"lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)"	EC-2.7.1.151	2.7.1.151-RXN
"phytate + ATP  ->  1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate + ADP"	inositol diphosphates biosynthesis	EC-2.7.4.21	2.7.1.152-RXN
"beta-D-fructofuranose 6-phosphate + diphosphate  ->  beta-D-fructofuranose 1,6-bisphosphate + phosphate + H+"	glycolysis IV	EC-2.7.1.90	2.7.1.90-RXN
"ATP + 1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate  ->  ADP + 1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate"	inositol diphosphates biosynthesis	EC-2.7.4.24	2.7.4.24-RXN
beta-nicotinamide D-ribonucleotide + ATP + H+  =  NAD+ + diphosphate		EC-2.7.7.1	2.7.7.1-RXN
alpha-D-mannose 1-phosphate + GTP + H+  ->  GDP-alpha-D-mannose + diphosphate	GDP-mannose biosynthesis	EC-2.7.7.13	2.7.7.13-RXN
CTP + phosphocholine + H+  ->  CDP-choline + diphosphate	phosphatidylcholine biosynthesis II // choline biosynthesis III // phosphatidylcholine biosynthesis I	EC-2.7.7.15	2.7.7.15-RXN
alpha-D-glucuronate 1-phosphate + UTP + H+  ->  UDP-alpha-D-glucuronate + diphosphate	UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)	EC-2.7.7.44	2.7.7.44-RXN
2-C-methyl-D-erythritol 4-phosphate + CTP + H+  ->  4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + diphosphate	methylerythritol phosphate pathway I // methylerythritol phosphate pathway II	EC-2.7.7.60	2.7.7.60-RXN
UTP + a sugar 1-phosphate + H+  =  a UDP-sugar + diphosphate		EC-2.7.7.64	2.7.7.64-RXN
(<i>S</i>)-3-methyl-2-oxopentanoate dehydrogenase (acylating)	L-isoleucine degradation I	EC-1.2.1.25	2KETO-3METHYLVALERATE-RXN
4-methyl-2-oxopentanoate dehydrogenase (acylating)	L-leucine degradation I	EC-1.2.1.25	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN
2-oxoglutarate dehydrogenase complex	2-oxoglutarate decarboxylation to succinyl-CoA // TCA cycle II (plants and fungi)	EC-1.2.1.105	2OXOGLUTARATEDEH-RXN
2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O	glycolysis I (from glucose 6-phosphate) // glycolysis IV // Rubisco shunt // gluconeogenesis I	EC-4.2.1.11	2PGADEHYDRAT-RXN
D-erythrose 4-phosphate + D-xylulose 5-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-glyceraldehyde 3-phosphate	Calvin-Benson-Bassham cycle // pentose phosphate pathway (non-oxidative branch) I // Rubisco shunt	EC-2.2.1.1	2TRANSKETO-RXN
"a 5,10-methylenetetrahydrofolate + 3-methyl-2-oxobutanoate + H2O  <-->  2-dehydropantoate + a tetrahydrofolate"	phosphopantothenate biosynthesis I	EC-2.1.2.11	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
L-asparagine  <-  3-cyano-L-alanine + H+ + H2O	cyanide detoxification I	EC-4.2.1.65	3-CYANOALANINE-HYDRATASE-RXN
3-dehydroquinate  ->  3-dehydroshikimate + H2O	chorismate biosynthesis from 3-dehydroquinate	EC-4.2.1.10	3-DEHYDROQUINATE-DEHYDRATASE-RXN
3-deoxy-D-arabino-heptulosonate 7-phosphate  ->  3-dehydroquinate + phosphate	3-dehydroquinate biosynthesis I	EC-4.2.3.4	3-DEHYDROQUINATE-SYNTHASE-RXN
(S)-3-hydroxy-isobutanoate + NAD+  ->  (S)-methylmalonate-semialdehyde + NADH + H+	L-valine degradation I	EC-1.1.1.31	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
(S)-3-hydroxy-isobutanoyl-CoA + H2O  ->  (S)-3-hydroxy-isobutanoate + coenzyme A + H+	L-valine degradation I	EC-3.1.2.4	3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN
3-hydroxypropanoate + NAD+  <-->  3-oxopropanoate + NADH + H+	&beta;-alanine biosynthesis II	EC-1.1.1.59	3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN
"(2R,3S)-3-isopropylmalate + NAD+  ->  (2S)-2-isopropyl-3-oxosuccinate + NADH + H+"	L-leucine biosynthesis		3-ISOPROPYLMALDEHYDROG-RXN
3-isopropylmalate dehydratase	L-leucine biosynthesis		3-ISOPROPYLMALISOM-RXN
3-phospho-D-glycerate + H2O  ->  D-glycerate + phosphate	L-serine biosynthesis II	EC-3.1.3.38	3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN
pheophorbide a + H2O + H+  ->  pyropheophorbide a + methanol + CO2	chlorophyll <i>a</i> degradation I	EC-3.1.1.82	3.1.1.82-RXN
oleoyl-[acp] + H2O  ->  acyl-carrier protein + oleate + H+	oleate biosynthesis I (plants)	EC-3.1.2.14	3.1.2.14-RXN
dodecanoyl-[acp] + H2O  ->  acyl-carrier protein + laurate + H+	palmitate biosynthesis II (type II fatty acid synthase) // tetradecanoate biosynthesis (mitochondria)	EC-3.1.2.21	3.1.2.21-RXN
"beta-D-fructose 2,6-bisphosphate + H2O  ->  beta-D-fructofuranose 6-phosphate + phosphate"	"fructose 2,6-bisphosphate biosynthesis"	EC-3.1.3.46	3.1.3.46-RXN
"D-myo-inositol (1,4,5)-trisphosphate + H2O  ->  D-myo-inositol (1,4)-bisphosphate + phosphate"	"D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation"	EC-3.1.3.56	3.1.3.56-RXN
"D-myo-inositol (1,4)-bisphosphate + H2O  ->  1D-myo-inositol 4-monophosphate + phosphate"	"D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation"	EC-3.1.3.57	3.1.3.57-RXN
pyridoxal 5'-phosphate + H2O  ->  pyridoxal + phosphate	pyridoxal 5'-phosphate salvage II (plants)	EC-3.1.3.74	3.1.3.74-RXN
"5-(methylsulfanyl)-2,3-dioxopentyl 1-phosphate + H2O  ->  1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one + phosphate + H+"	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	EC-3.1.3.77	3.1.3.77-RXN
sucrose + H2O  ->  beta-D-fructofuranose + D-glucopyranose	sucrose degradation III (sucrose invertase)	EC-3.2.1.26 // EC-3.2.1.48	3.2.1.48-RXN
(S)-5-hydroxyisourate + H2O  ->  (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+	urate conversion to allantoin I	EC-3.5.2.17	3.5.2.17-RXN
3-cyano-L-alanine + H+ + 2 H2O  ->  ammonium + L-aspartate	cyanide detoxification I	EC-3.5.5.4	3.5.5.4-RXN
"adenosine 3',5'-bisphosphate + H2O  ->  AMP + phosphate"		EC-3.1.3.7	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	glycolysis I (from glucose 6-phosphate) // glycolysis IV // Rubisco shunt // gluconeogenesis I	EC-5.4.2.12	3PGAREARR-RXN
4-coumarate + coenzyme A + ATP  ->  (E)-4-coumaroyl-CoA + AMP + diphosphate	flavonoid biosynthesis // rosmarinic acid biosynthesis I // avenanthramide biosynthesis // chlorogenic acid biosynthesis II // monolignol biosynthesis	EC-6.2.1.12	4-COUMARATE--COA-LIGASE-RXN
3-(4-hydroxyphenyl)pyruvate + dioxygen  ->  CO2 + homogentisate	L-tyrosine degradation I // plastoquinol-9 biosynthesis I // vitamin E biosynthesis (tocopherols)	EC-1.13.11.27	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
oxaloacetate + GTP  <-->  CO2 + phosphoenolpyruvate + GDP		EC-4.1.1.32	4.1.1.32-RXN
(3<em>R</em>)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase	"palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis III // tetradecanoate biosynthesis (mitochondria) // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	EC-4.2.1.59	4.2.1.58-RXN
(3R)-3-hydroxyoctanoyl-[acp]  ->  (2E)-oct-2-enoyl-[acp] + H2O	"palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis III // tetradecanoate biosynthesis (mitochondria) // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	EC-4.2.1.59	4.2.1.59-RXN
(3R)-3-hydroxyhexadecanoyl-[acp]  ->  (2E)-hexadec-2-enoyl-[acp] + H2O	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis III	EC-4.2.1.59	4.2.1.61-RXN
ATP + (S)-NADHX  ->  ADP + NADH + phosphate + H+	NADH repair (eukaryotes)	EC-4.2.1.93	4.2.1.93-RXN
(-)-ent-copalyl diphosphate  ->  ent-kaurene + diphosphate	<i>ent</i>-kaurene biosynthesis I	EC-4.2.3.19	4.2.3.19-RXN
L-serine  ->  pyruvate + ammonium	glycine degradation	EC-4.3.1.17	4.3.1.17-RXN
ATP + 5-(methylsulfanyl)-D-ribose  ->  ADP + S-methyl-5-thio-alpha-D-ribose 1-phosphate + H+	<i>S</i>-methyl-5'-thioadenosine degradation I	EC-2.7.1.100	5-METHYLTHIORIBOSE-KINASE-RXN
5-oxo-L-proline + ATP + 2 H2O  ->  L-glutamate + ADP + phosphate + H+	&gamma;-glutamyl cycle	EC-3.5.2.9	5-OXOPROLINASE-ATP-HYDROLYSING-RXN
L-serine  <-->  D-serine	D-serine metabolism // serine racemization	EC-5.1.1.10 // EC-5.1.1.18	5.1.1.18-RXN
S-methyl-5-thio-alpha-D-ribose 1-phosphate  <-->  S-methyl-5-thio-D-ribulose 1-phosphate	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	EC-5.3.1.23	5.3.1.23-RXN
geranylgeranyl diphosphate  ->  (-)-ent-copalyl diphosphate	dolabralexins biosynthesis // <i>ent</i>-kaurene biosynthesis I // diterpene phytoalexins precursors biosynthesis	EC-5.5.1.13	5.5.1.13-RXN
"beta-D-fructofuranose 6-phosphate + ATP  ->  beta-D-fructose 2,6-bisphosphate + ADP + H+"	"fructose 2,6-bisphosphate biosynthesis"	EC-2.7.1.105	6-PHOSPHOFRUCTO-2-KINASE-RXN
ferulate + ATP + coenzyme A  ->  feruloyl-CoA + AMP + diphosphate	suberin monomers biosynthesis	EC-6.2.1.34	6.2.1.34-RXN
"ATP + beta-D-fructofuranose 6-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+"	glycolysis I (from glucose 6-phosphate) // glycolysis IV	EC-2.7.1.11	6PFRUCTPHOS-RXN
"6-phospho D-glucono-1,5-lactone + H2O  ->  D-gluconate 6-phosphate + H+"	pentose phosphate pathway (oxidative branch) I	EC-3.1.1.31	6PGLUCONOLACT-RXN
coenzyme A + acetate + ATP  <-->  acetyl-CoA + AMP + diphosphate	ethanol degradation II	EC-6.2.1.1	ACETATE--COA-LIGASE-RXN
"(2R)-2,3-dihydroxy-3-methylbutanoate + NADP+  <-  (S)-2-acetolactate + NADPH + H+"	L-valine biosynthesis	EC-1.1.1.86	ACETOLACTREDUCTOISOM-RXN
2 pyruvate + H+  ->  (S)-2-acetolactate + CO2	L-valine biosynthesis	EC-2.2.1.6	ACETOLACTSYN-RXN
"(R)-2,3-dihydroxy-3-methylpentanoate + NADP+  <-  (S)-2-aceto-2-hydroxybutanoate + NADPH + H+"	L-isoleucine biosynthesis I (from threonine)	EC-1.1.1.86	ACETOOHBUTREDUCTOISOM-RXN
2-aceto-2-hydroxy-butyrate synthase	L-isoleucine biosynthesis I (from threonine)	EC-2.2.1.6	ACETOOHBUTSYN-RXN
2 acetyl-CoA  <-->  acetoacetyl-CoA + coenzyme A	mevalonate pathway I (eukaryotes and bacteria)	EC-2.3.1.16 // EC-2.3.1.9	ACETYL-COA-ACETYLTRANSFER-RXN
ATP + acetyl-CoA + hydrogen carbonate  ->  ADP + malonyl-CoA + phosphate + H+		EC-6.4.1.2	ACETYL-COA-CARBOXYLTRANSFER-RXN
N-acetyl-L-glutamate + ATP  ->  N-acetylglutamyl-phosphate + ADP	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)	EC-2.7.2.8	ACETYLGLUTKIN-RXN
N-acetyl-L-ornithine + H2O  ->  L-ornithine + acetate	L-ornithine biosynthesis I	EC-3.5.1.16	ACETYLORNDEACET-RXN
N-acetyl-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + N-acetyl-L-glutamate 5-semialdehyde	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)	EC-2.6.1.11	ACETYLORNTRANSAM-RXN
citrate  <-->  cis-aconitate + H2O	TCA cycle II (plants and fungi) // glyoxylate cycle		ACONITATEDEHYDR-RXN
cis-aconitate hydratase	TCA cycle II (plants and fungi) // glyoxylate cycle		ACONITATEHYDR-RXN
O-acetyl-L-serine + hydrogen sulfide  ->  L-cysteine + acetate + H+	L-cysteine biosynthesis I	EC-2.5.1.47	ACSERLY-RXN
"2,3,4-saturated fatty acyl-CoA synthetase"	fatty acid &beta;-oxidation II (plant peroxisome)	EC-6.2.1	ACYLCOASYN-RXN
4-amino-4-deoxychorismate  ->  4-aminobenzoate + pyruvate + H+	4-aminobenzoate biosynthesis I // tetrahydrofolate biosynthesis II	EC-4.1.3.38	ADCLY-RXN
adenine + H+ + H2O  ->  ammonium + hypoxanthine	Organic Nitrogen Assimilation	EC-3.5.4.2	ADENINE-DEAMINASE-RXN
adenosine + H2O + H+  =  inosine + ammonium		EC-3.5.4.4	ADENODEAMIN-RXN
adenosine + ATP  ->  AMP + ADP + H+	adenine and adenosine salvage VI	EC-2.7.1.20	ADENOSINE-KINASE-RXN
adenosine + H2O  ->  D-ribofuranose + adenine	adenine and adenosine salvage II	EC-3.2.2.7	ADENOSINE-NUCLEOSIDASE-RXN
S-adenosyl-L-homocysteine + H2O  ->  L-homocysteine + adenosine	L-methionine degradation I (to L-homocysteine) // <i>S</i>-adenosyl-L-methionine salvage II	EC-3.13.2.1	ADENOSYLHOMOCYSTEINASE-RXN
AMP + diphosphate  <-  adenine + 5-phospho-alpha-D-ribose 1-diphosphate	adenine and adenosine salvage II	EC-2.4.2.7	ADENPRIBOSYLTRAN-RXN
ATP + AMP  <-->  2 ADP	adenosine ribonucleotides <i>de novo</i> biosynthesis	EC-2.7.4.3	ADENYL-KIN-RXN
L-aspartate + IMP + GTP  ->  adenylosuccinate + GDP + phosphate + 2 H+	adenosine ribonucleotides <i>de novo</i> biosynthesis	EC-6.3.4.4	ADENYLOSUCCINATE-SYNTHASE-RXN
adenosine 5'-phosphosulfate + H2O  ->  sulfate + AMP + 2 H+		EC-3.6.2.1	ADENYLYLSULFATASE-RXN
sulfite + AMP + oxidized QmoABC electron-transfer protein complex + 2 H+  <-->  adenosine 5'-phosphosulfate + reduced QmoABC electron-transfer protein complex		EC-1.8.99.2	ADENYLYLSULFATE-REDUCTASE-RXN
adenosine 5'-phosphosulfate + ATP  ->  3'-phosphoadenylyl-sulfate + ADP + H+	sulfate activation for sulfonation	EC-2.7.1.25	ADENYLYLSULFKIN-RXN
ADP reductase	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	EC-1.17.4.1	ADPREDUCT-RXN
agmatine + H2O  ->  ammonium + N-carbamoylputrescine	superpathway of polyamine biosynthesis // putrescine biosynthesis II	EC-3.5.3.12	AGMATINE-DEIMINASE-RXN
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  ->  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	inosine-5'-phosphate biosynthesis II	EC-4.3.2.2	AICARSYN-RXN
an N10-formyltetrahydrofolate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide  <-->  a tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	inosine-5'-phosphate biosynthesis II	EC-2.1.2.3	AICARTRANSFORM-RXN
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + 2 H+  <-->  5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + CO2	inosine-5'-phosphate biosynthesis II	EC-4.1.1.21	AIRCARBOXY-RXN
ATP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine  ->  ADP + 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + phosphate + H+	5-aminoimidazole ribonucleotide biosynthesis I	EC-6.3.3.1	AIRS-RXN
L-alanine + glyoxylate  <-->  pyruvate + glycine	glycine biosynthesis III	EC-2.6.1.44	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
